"","Accession_ID","Integrated_P1","Integrated_P2"
"448","10C082P606","06C020P605","06C111P001"
"449","10C082P608","06C020P605","06C111P001"
"450","10C082P609","06C020P605","06C111P001"
"451","10C083P002","06C066P603","06C111P001"
"452","10C087P001","07C043P001","07C092P003"
"453","10C087P002","06C111P001","07C141P001"
"454","10C099P001","05C206P005","06C051P609"
"455","10C105P001","05C132P001","07C092P003"
"456","10C105P002","07C092P003","05C132P001"
"457","10C106P001","05C206P005","07C092P003"
"458","10C106P005","05C206P005","07C092P003"
"459","10C106P006","05C206P005","07C092P003"
"460","10C106P008","05C206P005","07C092P003"
"461","10C108P004","06C102P002","07C092P003"
"462","10C116P001","05C148P002","05C206P005"
"463","10C122P003","05C197P002","05C206P005"
"464","10C122P006","05C197P002","05C206P005"
"465","10C124P002","05C197P002","06C051P609"
"466","10C124P004","06C051P609","05C197P002"
"467","10C126P002","07C120P003","05C197P002"
"468","10C126P003","05C197P002","07C120P003"
"469","10C127P001","05C108P007","06C109P003"
"470","10C134P001","05C206P005","06C132P001"
"471","10C134P004","05C206P005","06C132P001"
"472","10C136P002","06C132P001","06C051P609"
"473","10C136P004","06C132P001","06C051P609"
"474","10C137P005","06C102P002","06C132P001"
"475","10C137P006","06C132P001","06C102P002"
"476","10C138P005","06C132P001","07C120P003"
"477","10C140P001","05C206P005","07C043P001"
"478","10C141P001","06C043P603","07C043P001"
"479","10C143P001","06C102P002","07C043P001"
"480","10C144P001","07C120P003","07C043P001"
"481","10C144P002","07C120P003","07C043P001"
"482","10C144P003","07C120P003","07C043P001"
"483","10C145P001","07C064P002","05C108P007"
"484","10C148P004","07C064P002","06C051P609"
"485","10C151P001","05C106P002","05C117P006"
"486","10C156P003","07C134P001","05C117P006"
"487","10C157P001","05C106P002","06C111P001"
"488","10C160P001","06C111P001","07C092P003"
"489","10C160P003","06C111P001","07C092P003"
"490","10C160P004","06C111P001","07C092P003"
"491","10C160P007","06C111P001","07C092P003"
"492","10C160P008","06C111P001","07C092P003"
"493","10C160P009","06C111P001","07C092P003"
"494","10C166P001","06C137P002","07C092P003"
"495","10C167P004","06C137P002","07C132P003"
"496","10C168P003","06C137P002","07C134P001"
"497","10C169P001","05C106P002","06C202P001"
"498","10C178P005","07C092P003","07C114P002"
"499","10C182P001","05C132P001","07C148P003"
"500","10C187P004","07C043P001","07C092P003"
"501","10C187P006","07C043P001","07C092P003"
"502","10D213","NA","NA"
"503","10L297","NA","NA"
"504","10x_Family","87C802P001","85C926P001"
"505","111H69","NA","NA"
"506","112H25","NA","NA"
"507","112N245","NA","NA"
"508","119J176","NA","NA"
"509","11C002P001","06C051P609","07C009P601"
"510","11C003P001","06C090P605","07C009P601"
"511","11C004P001","07C050P601","06C051P609"
"512","11C007P001","07C064P005","06C051P609"
"513","11C009P001","07C064P005","07C009P601"
"514","11C010P001","07C064P005","07C050P601"
"515","11C011P001","06C051P609","07C120P003"
"516","11C011P003","06C051P609","07C120P003"
"517","11C012P001","06C090P605","07C120P003"
"518","11C013P001","07C009P601","07C120P003"
"519","11C015P001","07C064P005","07C120P003"
"520","11C016P001","06C051P609","08C075P001"
"521","11C016P002","06C051P609","08C075P001"
"522","11C016P003","06C051P609","08C075P001"
"523","11C017P001","06C090P605","08C075P001"
"524","11C018P001","07C009P601","08C075P001"
"525","11C018P002","07C009P601","08C075P001"
"526","11C020P001","07C064P005","08C075P001"
"527","11C020P002","07C064P005","08C075P001"
"528","11C021P001","07C120P003","08C075P001"
"529","11C023P001","06C204P001","07C039P601"
"530","11C027P001","08C182P002","07C039P601"
"531","11C030P001","07C067P608","07C064P005"
"532","11C030P002","07C067P608","07C064P005"
"533","11C030P003","07C067P608","07C064P005"
"534","11C031P001","07C067P608","07C120P003"
"535","11C032P001","07C067P608","07C148P001"
"536","11C032P002","07C148P001","07C067P608"
"537","11C033P001","07C067P608","08C182P002"
"538","11C033P002","07C067P608","08C182P002"
"539","11C033P003","07C067P608","08C182P002"
"540","11C034P605","06C051P609","08C055P002"
"541","11C035P001","08C055P002","06C204P001"
"542","11C035P002","08C055P002","06C204P001"
"543","11C035P004","08C055P002","06C204P001"
"544","11C035P005","08C055P002","06C204P001"
"545","11C036P001","08C055P002","07C064P005"
"546","11C036P002","08C055P002","07C064P005"
"547","11C036P003","08C055P002","07C064P005"
"548","11C036P004","08C055P002","07C064P005"
"549","11C036P601","07C064P005","08C055P002"
"550","11C037P001","08C055P002","07C120P003"
"551","11C037P002","08C055P002","07C120P003"
"552","11C039P001","08C182P002","08C055P002"
"553","11C039P002","08C182P002","08C055P002"
"554","11C040P001","06C051P609","08C124P001"
"555","11C042P001","07C064P005","08C124P001"
"556","11C043P001","07C120P003","08C124P001"
"557","11C046P001","06C051P609","08C132P003"
"558","11C047P002","06C204P001","08C132P003"
"559","11C047P004","06C204P001","08C132P003"
"560","11C048P002","07C064P005","08C132P003"
"561","11C048P003","07C064P005","08C132P003"
"562","11C049P001","07C120P003","08C132P003"
"563","11C049P002","07C120P003","08C132P003"
